date,code,name,weight
2015-09-01,002179,中航光电,0.31
2015-09-01,002181,粤传媒,0.11
2015-09-01,002183,怡亚通,1.35
2015-09-01,002190,成飞集成,0.18
2015-09-01,002191,劲嘉股份,0.53
2015-09-01,002194,武汉凡谷,0.05
2015-09-01,002195,二三四五,0.18
2015-09-01,002203,海亮股份,0.19
2015-09-01,002204,大连重工,0.09
2015-09-01,002216,三全食品,0.09
2015-09-01,002219,恒康医疗,0.34
2015-09-01,002221,东华能源,0.17
2015-09-01,002223,鱼跃医疗,0.24
2015-09-01,002225,濮耐股份,0.07
2015-09-01,002233,塔牌集团,0.09
2015-09-01,002237,恒邦股份,0.17
2015-09-01,002238,天威视讯,0.11
2015-09-01,002240,威华股份,0.13
2015-09-01,002242,九阳股份,0.18
2015-09-01,002244,滨江集团,0.22
