Date,Open,High,Low,Close,Volume,Adj Close
2015-11-18,5.31,5.38,5.3,5.34,497500,4.848633
2015-11-19,5.36,5.37,5.31,5.31,722700,4.821394000000001
2015-11-20,5.33,5.37,5.33,5.33,845700,4.8395529999999995
2015-11-23,5.35,5.38,5.33,5.34,487400,4.848633
2015-11-24,5.28,5.37,5.28,5.37,1345900,4.875872
2015-11-25,5.38,5.4,5.36,5.4,285900,4.903112
2015-11-27,5.4,5.41,5.37,5.4,83300,4.903112
2015-11-30,5.41,5.41,5.38,5.4,391200,4.903112
2015-12-01,5.4,5.46,5.39,5.44,381000,4.939431
2015-12-02,5.45,5.45,5.37,5.38,326300,4.884953
2015-12-03,5.38,5.4,5.28,5.31,380800,4.821394000000001
2015-12-04,5.33,5.4,5.33,5.38,376800,4.884953
2015-12-07,5.38,5.38,5.31,5.33,571900,4.8395529999999995
2015-12-08,5.28,5.32,5.27,5.31,330600,4.821394000000001
2015-12-09,5.3,5.34,5.23,5.23,292600,4.748755
2015-12-10,5.21,5.28,5.21,5.25,328500,4.766915
2015-12-11,5.2,5.22,5.12,5.12,487100,4.648877
2015-12-14,5.12,5.15,5.08,5.12,1019100,4.648877
2015-12-15,5.17,5.23,5.16,5.22,591400,4.739675
2015-12-16,5.25,5.33,5.24,5.31,844700,4.821394000000001
2015-12-17,5.34,5.35,5.26,5.26,732200,4.775995
2015-12-18,5.25,5.25,5.2,5.21,756500,4.730595
2015-12-21,5.23,5.25,5.18,5.2,1049800,4.721515
2015-12-22,5.24,5.27,5.2,5.26,607900,4.775995
2015-12-23,5.27,5.4,5.27,5.37,737800,4.875872
2015-12-24,5.37,5.4,5.36,5.4,245400,4.903112
2015-12-28,5.36,5.37,5.32,5.35,368000,4.8577129999999995
2015-12-29,5.36,5.4,5.36,5.39,423800,4.894032
2015-12-30,5.39,5.39,5.35,5.35,578400,4.8577129999999995
2015-12-31,5.31,5.4,5.31,5.35,436000,4.8577129999999995
2016-01-04,5.28,5.28,5.17,5.22,447300,4.739675
2016-01-05,5.25,5.28,5.17,5.17,1586600,4.694276
2016-01-06,5.09,5.12,5.07,5.1,925100,4.630717
2016-01-07,5.0,5.05,4.97,4.98,779200,4.521758999999999
2016-01-08,5.01,5.04,4.9,4.9,848300,4.44912
2016-01-11,4.93,4.95,4.81,4.87,889500,4.421881
2016-01-12,4.92,4.94,4.83,4.91,525800,4.4582
2016-01-13,4.93,4.94,4.71,4.78,1086300,4.340162
2016-01-14,4.78,4.87,4.68,4.87,965900,4.421881
2016-01-15,4.75,4.77,4.65,4.7,1072200,4.267523000000001
2016-01-19,4.75,4.75,4.63,4.68,730500,4.249364
2016-01-20,4.47,4.52,4.33,4.46,851400,4.156176
2016-01-21,4.48,4.58,4.46,4.52,712200,4.212089
2016-01-22,4.58,4.67,4.58,4.67,390300,4.35187
2016-01-25,4.66,4.66,4.55,4.55,244600,4.240044999999999
2016-01-26,4.57,4.64,4.57,4.62,332600,4.305276
2016-01-27,4.62,4.64,4.54,4.55,286900,4.240044999999999
2016-01-28,4.62,4.63,4.56,4.58,230800,4.268001
2016-01-29,4.6,4.73,4.59,4.73,398800,4.407783
2016-02-01,4.67,4.75,4.67,4.73,593700,4.407783
2016-02-02,4.69,4.7,4.63,4.68,385100,4.3611889999999995
2016-02-03,4.69,4.71,4.6,4.64,515400,4.323914
